0,-3.12
1,-3.12
2,-3.08
3,-3.2
4,-3.08
5,-3.08
6,-3.26
7,-3.1
8,-3.15
9,-3.3
10,-3.11
11,-3.18
12,-3.18
13,-3.08
14,-3.27
15,-3.15
16,-3.19
17,-3.26
18,-3.14
19,-3.12
20,-3.19
21,-3.03
22,-3.15
23,-3.03
24,-3.08
25,-3.14
26,-3.08
27,-3.17
28,-3.12
29,-3.06
30,-3.24
31,-3.09
32,-3.12
33,-3.21
34,-3.22
35,-3.11
36,-3.08
37,-3.09
38,-3.24
39,-3.12
40,-3.06
41,-3.1
42,-3.05
43,-3.12
44,-3.13
45,-3.08
46,-3.19
47,-3.12
48,-3.14
49,-3.13
50,-3.08
51,-3.14
52,-3.09
53,-3.19
54,-3.28
55,-3.22
56,-3.2
57,-3.25
58,-3.09
59,-3.09
60,-3.02
61,-3.06
62,-3.15
63,-3.06
64,-3.07
65,-3.15
66,-3.12
67,-3.15
68,-3.15
69,-3.15
70,-3.18
71,-3.11
72,-3.2
73,-3.16
74,-3.14
75,-3.2
76,-3.19
77,-3.14
78,-3.17
79,-3.11
80,-3.17
81,-3.26
82,-3.2
83,-3.25
84,-3.17
85,-3.2
86,-3.21
87,-3.12
88,-3.11
89,-3.16
90,-3.07
91,-3.19
92,-3.15
93,-3.14
94,-3.1
95,-3.16
96,-3.17
97,-3.22
98,-3.11
99,-3.22
100,-3.19
101,-3.11
102,-3.12
103,-3.11
104,-3.19
105,-3.12
106,-3.12
107,-3.17
108,-3.26
109,-3.14
110,-3.16
111,-3.22
112,-3.12
113,-3.09
114,-3.05
115,-3.08
116,-3.03
117,-3.07
118,-3.07
119,-3.08
120,-3.11
121,-3.13
122,-3.06
123,-3.11
124,-3.06
125,-3.12
126,-3.1
127,-3.06
128,-3.1
129,-3.18
130,-3.19
131,-3.1
132,-3.15
133,-3.11
134,-3.12
135,-3.06
136,-3.05
137,-3.17
138,-3.12
139,-3.14
140,-3.11
141,-3.13
142,-3.14
143,-3.12
144,-3.09
145,-3.14
146,-3.19
147,-3.15
148,-3.12
149,-3.1
150,-3.15
151,-3.12
152,-3.16
153,-3.15
154,-3.12
155,-3.1
156,-3.11
157,-3.11
158,-3.11
159,-3.17
160,-3.08
161,-3.16
162,-3.12
163,-3.19
164,-3.22
165,-3.23
166,-3.1
167,-3.12
168,-3.22
169,-3.17
170,-3.16
171,-3.18
172,-3.2
173,-3.11
174,-3.14
175,-3.12
176,-3.15
177,-3.19
178,-3.16
179,-3.12
180,-3.2
181,-3.07
182,-3.21
183,-3.14
184,-3.1
185,-3.11
186,-3.17
187,-3.12
188,-3.08
189,-3.07
190,-3.11
191,-3.09
192,-3.0
193,-3.12
194,-3.1
195,-3.17
196,-3.21
197,-3.19
198,-3.12
199,-3.15
200,-3.18
201,-3.19
202,-3.08
203,-3.12
204,-3.16
205,-3.09
206,-3.21
207,-3.21
208,-3.14
209,-3.08
210,-3.09
211,-3.07
212,-3.14
213,-3.08
214,-3.1
215,-3.12
216,-3.13
217,-3.05
218,-3.16
219,-3.11
220,-3.11
221,-3.07
222,-3.23
223,-3.2
224,-3.14
225,-3.2
226,-3.12
227,-3.22
228,-3.16
229,-3.19
230,-3.2
231,-3.21
232,-3.25
233,-3.22
234,-3.21
235,-3.17
236,-3.15
237,-3.25
238,-3.17
239,-3.25
240,-3.12
241,-3.12
242,-3.17
243,-3.18
244,-3.2
245,-3.26
246,-3.17
247,-3.14
248,-3.14
249,-3.03
250,-3.16
251,-3.11
252,-3.15
253,-3.1
254,-3.11
255,-3.08
256,-3.08
257,-3.2
258,-3.15
259,-3.13
260,-3.08
261,-3.19
262,-3.08
263,-3.14
264,-3.08
265,-3.14
266,-3.08
267,-3.11
268,-3.22
269,-3.23
270,-3.15
271,-3.21
272,-3.18
273,-3.2
274,-3.11
275,-3.16
276,-3.12
277,-3.08
278,-3.16
279,-3.15
280,-3.25
281,-3.06
282,-3.22
283,-3.12
284,-3.15
285,-3.21
286,-3.17
287,-3.18
288,-3.05
289,-3.11
290,-3.13
291,-3.06
292,-3.14
293,-3.2
294,-3.06
295,-3.13
296,-3.05
297,-3.11
298,-3.1
299,-3.13
300,-3.12
301,-3.13
302,-3.1
303,-3.16
304,-3.18
305,-3.15
306,-3.1
307,-3.09
308,-3.12
309,-3.09
310,-3.03
311,-3.12
312,-3.07
313,-3.08
314,-3.14
315,-3.12
316,-3.08
317,-3.04
318,-3.01
319,-3.09
320,-3.18
321,-3.13
322,-3.16
323,-3.17
324,-3.04
325,-3.06
326,-3.13
327,-3.11
328,-3.12
329,-3.15
330,-3.14
331,-3.15
332,-3.16
333,-3.13
334,-3.09
335,-3.21
336,-3.18
337,-3.15
338,-3.17
339,-3.21
340,-3.2
341,-3.24
342,-3.19
343,-3.19
344,-3.23
345,-3.22
346,-3.24
347,-3.26
348,-3.22
349,-3.14
350,-3.08
351,-3.19
352,-3.16
353,-3.14
354,-3.18
355,-3.27
356,-3.19
